Christian McCaffrey,RB;92.15|
Ezekiel Elliott,RB;88.93|
Dalvin Cook,RB;88.21|
Derrick Henry,RB;88.01|
Michael Thomas,WR;87.92|
Saquon Barkley,RB;84.48|
Austin Ekeler,RB;84.03|
Josh Jacobs,RB;83.25|
Julio Jones,WR;82.89|
DeAndre Hopkins,WR;82.54|
Aaron Jones,RB;82.50|
Amari Cooper,WR;80.43|
Davante Adams,WR;80.11|
Lamar Jackson,QB;79.09|
Alvin Kamara,RB;78.67|
Robert Woods,WR;78.12|
Joe Mixon,RB;76.34|
Kenyan Drake,RB;76.18|
Tyreek Hill,WR;76.02|
Courtland Sutton,WR;74.88|
George Kittle,TE;74.23|
Miles Sanders,RB;73.56|
Todd Gurley,RB;71.93|
Darren Waller,TE;71.34|
Kyler Murray,QB;70.45|
Odell Beckham Jr.,WR;70.04|
Nick Chubb,RB;69.69|
Mike Evans,WR;69.43|
Travis Kelce,TE;68.39|
Chris Carson,RB;68.22|
James Conner,RB;66.90|
Patrick Mahomes,QB;66.37|
JuJu Smith-Schuster,WR;65.38|
Le'Veon Bell,RB;64.82|
A.J. Brown,WR;63.46|
DeVante Parker,WR;61.71|
Leonard Fournette,RB;61.12|
Desean Watson,QB;60.73|
Devin Singletary,RB;60.46|
Russel Wilson,QB;57.39|
Mark Ingram II,RB;56.05|
Clyde Edwards-Helaire,RB;52.87|
Allen Robinson,WR;53.83|
Adam Thielen,WR;53.32|
Mecole Hardman,WR;52.77|
Mark Andrews,TE;52.64|
Drew Brees,QB;52.14|
Dak Prescott,QB;52.10|
Kenny Golladay,WR;51.99|
Hayden Hurst,TE;51.58|
Raheem Mostert,RB;51.29|
Zach Ertz,TE;50.84|
Melvin Gordon,RB;50.61|
D.J. Moore,WR;50.24|
Calvin Ridley,WR;49.75|
Hunter Henry,TE;48.60|
Chris Godwin,WR;48.45|
Tyler Lockett,WR;48.18|
Cam Newton,QB;48.13|
Evan Engram,TE;48.08|
D.J. Chark,WR;46.28|
A.J. Green,WR;45.93|
Jared Cook,TE;45.66|
Josh Allen,QB;45.52|
Terry Mclaurin,WR;45.51|
Cooper Kupp,WR;44.47|
Chris Herndon IV,TE;44.26|
David Johnson,RB;43.72|
D.K. Metcalf,WR;43.20|
T.Y. Hilton,WR;42.95|
Matt Ryan,QB;42.83|
Noah Fant,TE;42.68|
Ryan Tannehill,QB;41.84|
CeeDee Lamb,WR;40.09|
Jonnu Smith,TE;38.26|
Brandon Cooks,WR;37.61|
John Brown,WR;37.47|
Aaron Rodgers,QB;37.13|
